OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRR,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach,percAADTgt5k,percAADTgt10k,percSlowdownLT2,percSlowdownLT4
103,1353760766,MapQuestTrip,0,4,1.304145336,0.55891943,0.745225906,5.115587234,1.676758289,0,0,0,0,7.320448399,10.80710506,60.01847458,44.89986038,-0.67717427,1 commute,38.54166794,18.65826225,1.82661581,23.69643784,10.57942677,5.843099117,0,0.854492188,0,0,0,19.21553802,11.30956459,80.31381989,89.61928558
104,1353760766,ShortestPath,0,4,3.525068521,1.566697121,1.958371401,0,0.9791857,0,0,0,6.338306904,6.71354866,5.732489586,67.62054443,51.30932999,-0.188656762,1 commute,37.95410156,17.41878128,1.603916168,23.68570137,10.90631485,7.572561741,0,0.858622432,0,0,0,14.55648804,1.495172739,81.71561432,93.17290497
105,1354335134,EndomondoTrip,1,4,0.932997465,0.466498733,0.466498733,0.189940363,1.399496198,0,0,0,52.56915283,0,0,9.101736069,0.466498733,-0.316343337,1 commute,21.81157684,20.02637291,0.377142757,14.85979366,19.40671539,19.14852333,0.366999537,4.002876759,0,0,0,48.05104446,48.05104446,68.44164276,81.28439331
106,1354335134,GoogleTrip,0,4,2.233113766,1.015051723,1.218062043,15.11354256,0.609031022,17.93375397,0,0,0,0,11.57213402,8.817890167,3.248165607,-0.213506341,1 commute,21.41700363,20.9052639,0.458299607,16.44615364,20.32712555,16.2631588,0.510121465,3.672874451,0,0,0,9.856489182,9.856489182,80.28430939,82.93103027
107,1354335134,MapQuestTrip,0,4,1.390968561,0.695484281,0.695484281,0.804180861,1.159140468,0,0,0,0,0,41.00912857,14.46414375,0.231828094,-0.763609588,1 commute,20.82224274,18.12732887,0.377251118,16.62658501,20.39083672,19.55831337,0.369908035,3.727534771,0,0,0,39.09297562,39.09297562,73.1437912,82.35715485
108,1354335134,ShortestPath,0,4,1.402154446,0.701077223,0.701077223,0,1.402154446,0,0,0,3.727979422,0,49.89871979,9.861689568,0.467384815,-0.777605832,1 commute,21.62222099,19.57710075,0.367215186,15.79672718,19.52067757,18.8870697,0.372765034,3.856221914,0,0,0,48.0325737,48.0325737,63.84729767,78.69010162
109,1354376220,EndomondoTrip,1,4,2.164167881,1.082083941,1.082083941,18.52815437,1.442778587,0,0,0,92.20298004,0,0,4.184039116,1.442778587,0.075906098,1 commute,27.52806091,20.22887611,0.244232386,17.29735565,13.43204975,18.17483902,0.919893265,2.174691916,0,0,0,33.14780426,17.56445313,65.25071716,69.59519196
110,1354376220,GoogleTrip,0,4,2.05258131,1.119589686,0.932991445,14.55750751,1.119589686,0,0,0,0,0,0,27.71792603,2.05258131,-0.235144481,1 commute,22.12281609,16.84176064,0.544216692,16.50543022,21.2237072,17.22560883,0.941428006,4.595029831,0,0,0,0.672526896,0.672526896,112.2669907,112.4540024
111,1354376220,MapQuestTrip,0,4,2.544585943,1.484341741,1.060244083,0.808083236,1.272292972,0,0,0,3.40135932,0,9.439165115,26.57639313,0.848195255,-0.559434533,1 commute,21.04311562,15.60955429,0.401328176,16.03454018,22.27244759,20.68065262,0.707182527,3.251180649,0,0,0,10.83359051,10.83359051,91.14002228,91.14002228
112,1354376220,ShortestPath,0,4,1.923861146,1.068811774,0.855049372,0,1.49633646,0,0,0,16.68357849,0,0,24.65620804,1.068811774,-0.580423772,1 commute,21.38284683,16.8874054,0.392236769,15.2615757,21.29200363,20.09916306,0.717402756,3.96736455,0,0,0,27.58175468,27.58175468,82.08937073,90.4937973
